ID;Income;Recency
5524;58138;58
2174;46344;38
4141;71613;26
6182;26646;26
5324;58293;94
7446;62513;16
965;55635;34
6177;33454;32
4855;30351;19
5899;5648;68
1994;;11
387;7500;59
2125;63033;82
8180;59354;53
2569;17323;38
2114;82800;23
9736;41850;51
4939;37760;20
6565;76995;91
2278;33812;86
9360;37040;41
5376;2447;42
1993;58607;63
4047;65324;0
1409;40689;69
7892;18589;89
2404;53359;4
5255;;19
9422;38360;26
1966;84618;96
6864;10979;34
3033;38620;56
5710;40548;31
7373;46610;8
8755;68657;4
10738;49389;55
4339;67353;37
10755;23718;76
8595;42429;99
2968;48948;53
8601;80011;3
503;20559;88
8430;21994;4
7281;;80
2139;7500;19
1371;79941;72
9909;7500;24
7286;41728;92
7244;;96
6566;72550;39
8614;65486;29
4114;79143;2
1331;35790;54
2225;82582;54
9381;66373;57
6260;82384;55
10383;70287;30
7437;27938;31
8557;;57
8375;55954;63
6853;75777;12
3076;66653;18
1012;61823;26
6518;67680;8
4137;70666;29
8082;25721;75
1386;32474;0
9369;88194;19
4477;69096;4
1357;74854;90
1402;66991;1
10629;;25
6312;65031;29
8132;60631;88
1050;28332;58
5846;40246;68
1859;75251;34
7503;75825;40
10401;26326;12
1618;56046;9
3332;29760;87
2261;26304;5
5346;23559;87
4119;38620;56
535;81361;18
5268;29440;95
273;36138;48
4452;50388;3
8504;79593;70
771;54178;79
8996;;4
9235;;45
5798;;87
11178;42394;69
2230;23626;84
7516;30096;30
7247;47916;72
11100;51813;37
4646;78497;44
3037;50150;32
1473;47823;0
1016;34554;43
4518;85693;59
9370;65846;68
8908;87195;35
8373;24594;94
7533;49096;15
2683;52413;56
3629;38557;17
10991;89058;18
5077;77298;46
7431;68126;40
3267;57288;27
999;86037;95
9215;43974;19
2286;50785;27
1592;90765;25
367;36550;74
5234;30753;85
9862;21918;37
9805;56129;65
6205;32557;13
8442;19510;63
7386;30992;83
7215;101970;69
1491;71488;87
11071;79607;37
3381;54348;51
8268;;23
11051;77376;72
8026;62998;10
433;61331;42
9597;73448;10
1295;;96
5290;41551;51
1685;62981;21
5342;9548;31
9579;33762;61
7660;35860;37
1461;36921;74
821;92859;46
11084;65104;4
8690;86111;73
2937;68352;47
9701;41883;13
9949;59809;36
10837;23957;47
3120;38547;49
5885;35688;94
4050;49605;65
3830;59354;59
7987;65747;96
7798;46344;28
92;34176;12
7055;61010;57
10240;69372;10
3025;49967;4
9283;60199;49
9970;55375;3
2730;80317;64
2795;30523;0
9260;70356;20
8182;23228;91
10095;74165;9
8475;157243;98
4370;43482;83
10573;62551;27
3712;52332;63
6637;66951;46
3152;26091;84
5610;33456;58
6460;28718;78
1349;50447;4
1880;53537;17
641;52074;77
8717;80427;56
10314;83837;79
10854;38853;90
10492;38285;96
6935;78497;44
7698;51650;81
3559;16248;77
10562;66835;21
10796;30477;16
2563;28249;80
3518;25271;45
5823;32303;63
3934;61286;34
6982;74068;14
6431;45759;13
9733;24882;52
5602;66973;98
7829;36640;99
1324;38872;93
326;51148;38
7224;31353;24
6999;69661;80
9938;80067;82
6422;86718;20
3182;46854;81
7300;69142;50
10424;75922;60
8727;63693;63
2798;102160;54
1030;40637;72
624;18890;5
5176;29604;88
5552;48721;50
868;44794;99
380;64497;17
2677;46097;11
6521;77972;18
6927;44377;70
2877;46014;21
0;70951;66
1584;41443;79
7264;52195;2
6274;83790;81
1377;44551;24
454;69508;48
1755;45204;93
2075;72460;56
4785;77622;3
9076;30732;44
7079;63887;38
4653;42011;46
7375;51369;84
709;51537;27
460;79930;72
3726;34320;66
6798;37070;30
5341;81975;2
1606;38590;65
9617;15033;37
3233;62745;89
89;22212;49
2936;23661;46
9449;79761;32
7297;7500;54
11004;60182;23
313;73455;98
9940;64961;97
10735;22804;75
9529;73687;8
6439;61074;37
7411;31686;31
2176;80134;40
9265;75027;74
8867;67546;90
8932;65176;57
10236;31160;59
6340;29938;52
10089;102692;5
2227;26490;92
10992;75702;77
5304;30899;35
309;63342;48
3406;45989;97
2661;18701;95
3153;40737;24
10264;15287;60
1184;69674;46
4200;44159;85
9396;37717;31
2387;43776;9
6690;38179;30
1225;80124;47
9703;38097;70
291;72940;13
4557;22070;11
2379;69267;31
5726;31788;15
3066;61905;2
6336;29315;55
10967;33378;38
2304;66313;86
3445;60714;56
7828;77882;29
3762;69867;30
4391;63841;64
4669;24480;46
10144;51369;84
8652;37760;20
1672;65640;74
8962;44319;18
9974;30631;75
10983;75278;17
8148;50898;88
10102;79946;19
4697;35416;62
9262;32414;11
7254;38361;74
4543;82497;32
4927;16626;76
10451;29672;6
2926;55951;62
2874;35388;20
9738;42386;43
7119;68627;45
3924;57912;34
5827;35246;53
5596;58821;44
10812;46377;89
1717;39747;43
9491;23976;68
9274;80950;44
6609;27038;64
6963;77457;85
4440;64100;93
1379;42670;12
10032;12571;86
2826;22574;28
2437;;69
6320;70893;42
3050;54198;13
231;28839;86
2392;40321;59
9478;66503;30
113;30833;33
2863;;67
1802;64795;23
520;34421;81
8275;47025;6
9750;64325;41
2607;40464;78
7214;62187;49
5835;14849;39
3896;27255;3
10350;54432;37
7786;29999;22
2861;24072;79
663;33996;46
10675;66334;82
2521;35178;10
9592;22010;51
10151;62204;38
7381;75693;10
4099;30675;14
9560;83003;18
1150;83532;36
10172;68655;95
11191;41411;11
9707;55212;65
6245;59292;71
8234;27190;13
1411;82623;58
8553;44300;65
1826;84835;0
8842;30372;33
11030;33181;90
2579;71113;95
175;71952;93
9185;69759;38
11056;72099;18
9365;60000;57
6201;38643;45
2061;50737;61
6184;68462;6
6142;65073;65
4107;46681;52
7274;78618;87
9336;62187;38
2958;28442;53
933;37717;31
5837;51479;67
10704;54803;65
5125;79530;64
4432;31615;82
5955;72025;27
2928;52614;63
5680;35684;66
10313;48178;69
2557;29548;52
1245;63810;45
1519;38578;2
10703;46098;86
1726;22585;23
4459;30279;13
1729;66426;14
1517;30822;92
2098;33581;38
9543;19986;74
6878;27421;14
3310;35688;94
2724;36143;33
948;10245;32
6720;43795;11
6202;63381;78
2066;38823;56
9799;83664;57
8318;90300;7
5642;62499;0
2669;74293;66
455;51012;86
7683;70777;80
3428;68682;56
7414;43824;18
6354;15345;51
798;23442;71
8213;14515;71
2488;31395;80
9999;75276;2
7617;42373;83
615;30507;29
2552;55521;11
194;48006;55
3645;27213;19
8890;65808;1
5049;30351;19
9973;50437;28
7301;23616;76
10882;53858;50
7030;66465;1
7422;46923;90
3523;75072;83
7106;75865;73
6504;19789;24
5067;80134;11
4216;91065;33
8581;49505;4
5929;37401;14
3129;30096;30
6528;18492;75
1361;82584;26
6932;93027;77
7284;48686;8
1340;92910;42
8746;75433;28
5987;10404;52
3767;61314;1
3725;84865;1
4324;42387;42
238;67309;76
6694;75236;27
498;30015;28
9347;50943;49
9699;67272;12
10664;51529;14
5455;32011;89
456;7500;96
5012;28691;56
7495;56223;72
5029;18100;14
10642;30279;13
2106;20130;99
10364;23295;72
5954;42618;92
1137;81246;87
2541;24027;7
1142;55707;91
2276;57959;71
2807;56796;24
6471;36230;17
6131;70829;87
6233;65991;21
4148;38988;90
4947;89572;44
3225;42207;71
7540;50300;52
10648;66664;78
1992;60597;2
7851;70165;60
8594;50520;25
7059;80124;47
2815;33183;46
2416;66582;83
7999;75261;17
9213;31880;13
9697;53790;86
3916;49269;92
2021;61456;47
1581;37406;18
564;56937;81
6619;38415;91
9081;20518;58
178;62503;40
916;41644;67
5512;55842;19
8970;62010;93
10581;41124;41
5300;38961;60
5154;37760;54
8346;32233;26
1676;43057;30
9286;83151;93
2426;78825;35
5172;65104;4
5562;60093;92
3436;14045;24
3921;28457;96
3403;78952;11
22;46310;99
10965;76005;72
9426;58308;77
6605;55614;85
3136;59432;88
8737;55563;22
11088;78642;83
716;67911;63
466;65275;9
9135;27203;92
10623;48330;2
8151;24279;6
5140;64355;66
10160;50943;49
4945;53653;29
10584;65665;77
6071;81217;77
3386;34935;71
8939;61250;49
9925;39665;97
4320;60152;6
5389;48920;93
6036;89120;78
182;44124;62
203;81169;47
11025;36443;9
10203;26095;77
4607;71367;24
3711;80184;19
3696;30630;67
2532;73454;95
9214;42691;48
4943;70503;73
35;25545;35
2258;32880;76
4322;77863;20
713;50353;72
4702;61839;20
3281;49154;69
702;47682;80
2004;72679;65
4769;57954;52
4437;65316;65
8724;28567;57
10741;47352;70
1991;44931;0
6931;76982;19
11096;57247;50
304;22944;67
3665;25315;46
10591;43638;37
5036;42710;38
5547;84169;9
7822;54058;56
8541;24683;98
10955;85620;68
4368;47850;72
9671;19514;47
2256;27159;33
4279;39548;87
5371;21474;0
9240;60504;73
9460;22419;74
9504;81698;4
8692;43462;50
448;54880;57
8314;79908;30
8420;15315;27
3174;87771;61
7685;33039;4
3179;81741;75
9780;71499;12
10681;62466;13
10232;48799;9
4184;52157;48
9120;66565;80
891;29298;60
10381;47691;43
3525;38200;19
6818;44989;26
3526;38443;58
8181;38593;42
1029;64413;27
7369;36959;56
2574;61996;27
8159;51287;10
1160;13260;48
10242;47472;39
5253;54603;85
5966;45207;64
5314;40689;69
5081;47821;54
5123;27450;57
5756;39453;64
8036;26850;10
9058;79800;65
5057;61794;74
254;53863;4
4179;24221;94
3710;39684;41
7627;92163;25
4501;69882;94
6424;33178;9
3075;59973;47
4992;17459;12
5252;23910;80
7444;42169;20
6919;26224;39
3537;31089;57
10277;30081;27
2453;62807;83
7972;72906;79
895;61467;69
1177;49618;77
7141;21888;15
7232;42429;99
8477;26150;61
2457;30801;23
988;81168;84
7930;26877;74
4587;45006;90
6682;18978;41
6222;22574;28
10299;48240;73
3083;45837;88
8953;35791;94
1503;162397;31
8650;54162;31
10862;30522;6
2782;54456;23
6941;31632;92
10972;72298;52
10708;36975;50
6583;72635;54
3641;13624;93
10156;84196;56
4299;70971;28
3469;34487;94
5063;28769;76
10727;69084;43
9624;65488;46
5156;62466;13
4376;32218;27
8923;83917;12
8461;46102;3
6945;84574;72
944;56181;6
1907;63120;53
701;73691;58
3856;63381;78
4149;76140;57
2131;62859;37
2942;45906;20
1173;77632;73
4381;46463;56
4611;105471;36
3376;55282;9
4679;78710;42
10928;66886;28
4248;98777;23
6728;29103;38
6661;67445;63
4725;50616;71
3277;49431;9
5555;153924;81
2564;61278;87
946;26490;92
3867;73059;36
6940;46734;86
55;56253;83
7093;19986;74
5084;58330;87
1777;25965;29
8162;14661;88
10826;18690;77
8754;45068;25
1987;21063;34
11007;29187;43
7426;54690;76
9153;59304;81
10379;59247;87
9204;66731;33
3197;77353;38
2920;52614;63
6961;26751;26
4673;81300;17
9937;70337;75
8779;36145;13
9596;65295;19
2891;68118;51
4910;68743;81
75;41039;32
10120;38946;84
6327;65777;87
10142;66476;99
9826;86857;96
1501;160803;21
10767;77845;40
7279;69476;3
7230;50611;98
143;61209;73
450;42315;90
9316;13084;29
6379;47570;3
9239;61923;94
8315;34824;65
2868;26518;33
10888;45938;46
1277;78468;29
9977;78901;99
10196;71427;26
6384;71022;30
8029;90247;27
968;41335;24
6988;71952;93
4472;35682;34
6991;43185;88
3336;66375;96
4301;35178;10
1940;25252;26
1272;55250;49
1388;33249;11
1044;58398;44
6969;50272;75
10479;76618;64
3619;87305;19
1715;25851;45
10159;58710;77
1463;45160;9
5114;74806;1
4990;59111;90
4329;18988;43
10936;72190;79
4692;7500;19
7212;44794;99
6086;80395;62
437;75012;41
11171;56962;60
11101;89891;17
5329;35946;24
610;53593;60
9384;66373;57
5956;45072;74
10430;89694;22
7875;72025;46
7072;67432;69
6255;70545;29
6516;17487;37
5564;62882;26
5682;64108;8
7458;34941;26
5237;48767;79
7761;38702;71
5278;82224;83
3560;83844;57
7235;17003;37
10548;71163;30
2281;33697;34
4073;63564;0
6974;83443;89
7938;51518;92
7094;58330;87
3667;80952;20
7723;75507;56
3870;63855;28
4012;62220;55
5909;58512;25
10470;40662;0
6488;38829;86
10270;35523;8
6887;79146;33
6406;78285;13
7573;31626;12
4508;75127;92
221;48726;90
5331;74985;8
1911;67430;6
20;46891;91
8786;62058;52
10582;72063;3
1915;78939;57
8897;42720;9
2371;33622;22
4303;6835;76
6825;41452;86
1072;40760;64
4964;74250;90
2461;51124;79
10736;72258;28
3194;71466;86
10839;36283;42
49;20587;39
4290;30467;8
10219;31590;40
4211;20425;5
1135;17144;96
6299;42564;28
10846;43783;22
347;40780;30
6543;62847;45
10446;82017;58
3479;16813;49
11075;51267;37
4442;46524;70
199;45183;33
6722;70421;98
796;60161;17
3749;73926;54
8523;19329;39
310;61872;81
8629;46984;71
236;34838;62
9930;82716;8
3483;48192;76
4599;49681;66
7326;56850;83
7352;55267;28
2350;59666;87
9145;72504;43
2964;26872;0
5585;21359;1
9687;73170;1
3732;52750;72
6303;91820;72
11176;65968;12
2986;30772;89
7462;22507;67
3900;65685;54
7034;25804;34
9493;76412;15
1143;22063;43
1;57091;0
3855;22419;74
5536;87771;61
5989;78353;51
9499;93404;97
6768;37859;75
2150;80995;83
6646;16529;23
4887;55412;65
8560;48789;94
3321;56575;42
11003;25130;10
10402;35441;94
9904;71391;50
6141;49494;46
5687;81702;98
10856;45889;42
5121;56628;30
4186;34026;11
368;40049;61
3312;34176;12
11121;19419;76
5332;82504;2
5848;81205;43
10343;61618;27
5935;55284;60
2895;49980;79
10262;15072;96
7848;49166;17
9477;65324;0
4856;82347;38
7186;30843;43
5794;46374;1
1456;60474;25
4877;38576;2
425;55357;66
3007;37758;49
1031;85710;5
4297;23228;71
807;44602;35
9553;7500;94
4271;38683;80
4120;49514;61
2036;57906;29
115;43456;0
4259;19485;80
8687;53172;54
2447;30545;71
10140;70123;27
9353;62450;61
3623;21675;55
738;42395;35
7631;61346;34
4789;80812;95
773;42835;64
10602;39922;30
1446;86424;12
3270;17117;96
8443;24762;16
9653;35797;16
8916;36627;78
8017;51111;83
5830;86857;96
4597;82072;67
7023;46231;87
8086;42243;34
8825;51195;46
2930;68092;7
1928;31814;73
7108;51390;54
10925;76630;93
9960;26868;52
8800;48948;53
9224;55260;81
5519;64090;8
5046;78331;97
7037;37087;50
905;21846;38
8624;81320;61
8945;54137;46
6445;66825;73
2727;57100;19
6404;58917;10
11074;85072;94
10150;86429;10
1968;45684;37
6534;47889;94
9485;45921;23
7053;78420;75
4654;75114;40
9760;52278;24
1048;35641;11
10619;95529;29
9308;62820;51
10505;73113;86
8362;84169;9
2625;42607;30
4637;74637;73
9972;46015;25
4483;72354;67
4487;39858;67
4988;34469;58
8931;83033;82
5871;24401;98
2008;77583;93
3139;74116;53
10037;74293;66
10673;68397;6
5303;79632;42
538;46107;78
7922;64950;29
5692;25443;82
4843;75127;92
6383;32892;78
1628;71796;54
1204;67536;45
3673;55239;59
760;60554;8
8957;64831;51
4128;56067;51
6810;82025;76
5386;94384;62
8700;14906;86
3202;51563;60
1328;57937;56
8405;68274;83
6515;39771;92
2882;67893;31
7574;27922;80
6387;52190;39
5320;44051;20
5048;42767;53
8146;46106;84
10031;16927;50
5748;59754;96
2134;53700;94
1523;59041;25
9665;54237;48
4640;70647;65
3635;52597;69
3547;41021;12
2456;40233;84
5633;50183;47
7801;54753;87
10489;92955;35
7011;33471;47
2620;34596;48
3933;44010;46
10981;84219;27
1734;40706;37
10995;15716;8
6357;59052;29
9209;80573;85
10286;83715;2
2611;82576;66
1600;56962;60
3308;35704;54
5407;53103;70
2166;46779;55
3955;4861;20
6634;33462;78
3056;63693;63
5718;80763;17
6872;65352;43
8164;82170;13
4580;75759;46
9305;79689;65
453;35340;1
8545;85683;6
9850;24884;32
7378;42021;34
7646;64449;70
1640;64587;49
5184;34824;65
8492;75437;25
11188;26091;84
1212;52845;7
9097;46086;34
10473;78028;38
7962;95169;1
9984;56337;25
5527;22434;25
6374;36930;50
7453;36130;46
8952;65569;96
241;83844;57
8975;19514;47
6119;36736;52
5236;77568;30
5723;49187;63
1710;30168;51
1970;34053;14
5313;38196;20
10634;59412;56
7010;70924;41
8562;54165;72
3158;32300;1
4436;20180;27
5287;34961;77
2445;28440;87
6059;64504;81
4550;33564;51
4240;17345;79
8911;56320;11
3706;28647;54
3628;15038;93
10175;32173;0
8985;68316;54
5204;74538;21
9220;91700;58
9888;68695;3
5263;31056;99
1020;79593;70
9503;28071;65
10613;37334;44
67;46423;6
6019;37126;9
5863;47703;95
3717;61180;70
6730;38998;92
10749;8028;62
4998;76081;85
6287;34728;2
5985;33168;0
4754;33585;91
4002;77037;3
8870;35196;68
966;44529;98
4767;70924;41
9725;28764;16
4475;69098;82
5740;25959;1
5731;27100;64
7290;70596;68
3846;42557;98
8104;53312;32
4507;72228;87
11013;67605;84
4491;62845;3
3759;65196;34
1162;42000;23
2055;35860;37
10766;65526;22
4415;16860;19
3005;83528;7
2223;64176;52
4817;22304;91
2875;67023;93
10536;32892;78
11112;70713;23
3807;59925;83
9197;39722;92
10832;46610;4
6421;88347;32
4207;87171;27
577;26907;10
10855;50014;9
3081;41014;65
3535;66294;68
247;36715;16
8707;79456;12
9523;40479;95
6072;75345;16
6295;54233;46
10914;24163;3
1509;84460;80
5577;43776;77
7348;71691;0
1127;85844;62
1833;39190;91
4944;71367;24
9080;38578;2
6466;57236;22
9964;61825;56
4790;79803;54
10245;80910;71
1109;27590;38
6001;56775;62
5538;83829;78
10552;54210;18
1545;38508;95
7409;53187;66
4444;30023;28
146;76045;78
6271;50870;13
10065;15315;27
4741;65463;17
246;66480;71
375;76773;79
1524;81698;1
10022;54466;78
7451;98777;23
11010;16269;75
4356;71819;70
3885;33569;10
1175;36262;24
880;22634;47
